feature,tau_s,median_up,median_down,cliffs_up_vs_down,n_up,n_down
depth_imbalance,-1.8,-0.7984370589256287,-0.6358420252799988,-0.15982632915540262,313,117
depth_imbalance,-1.6,-0.8328798413276672,-0.6394466161727905,-0.1680183501269763,313,117
depth_imbalance,-1.4,-0.836599588394165,-0.697430431842804,-0.13235575216405893,313,117
depth_imbalance,-1.2,-0.8479641079902649,-0.7600123286247253,-0.11231260752027528,313,117
depth_imbalance,-1.0,-0.8486751317977905,-0.7600123286247253,-0.11640861800606206,313,117
depth_imbalance,-0.8,-0.8486751317977905,-0.7478325963020325,-0.12760438000054608,313,117
depth_imbalance,-0.6,-0.8492990732192993,-0.7656067609786987,-0.1007345512137845,313,117
depth_imbalance,-0.4,-0.8730724453926086,-0.7629111409187317,-0.11045574943338521,313,117
depth_imbalance,-0.2,-0.8899562358856201,-0.7849845290184021,-0.1288058764097103,313,117
depth_imbalance,0.0,-0.912675678730011,-0.7042490243911743,-0.22055651129133558,313,117
l1_bid_usd,-15.0,104.72001647949219,211.6500244140625,-0.1711040113596024,313,117
l1_bid_usd,-14.8,99.99999237060547,199.9999542236328,-0.17935064580431992,313,117
l1_bid_usd,-14.6,110.00001525878906,215.00001525878906,-0.18748805330274976,313,117
l1_bid_usd,-14.4,99.99999237060547,299.9990234375,-0.20908768193113236,313,117
l1_bid_usd,-14.2,99.99999237060547,299.9975891113281,-0.19144753010567706,313,117
l1_bid_usd,-14.0,112.00000762939453,299.999755859375,-0.1875426667758936,313,117
l1_bid_usd,-13.8,112.00000762939453,328.7900390625,-0.2032713470413151,313,117
l1_bid_usd,-13.6,104.72001647949219,299.9975891113281,-0.18642309057644524,313,117
l1_bid_usd,-13.4,112.00000762939453,328.7900390625,-0.21700663553698696,313,117
l1_bid_usd,-13.2,120.00001525878906,296.07269287109375,-0.16870101854127417,313,117
l1_bid_usd,-13.0,127.16001892089844,299.999755859375,-0.176538051937413,313,117
l1_bid_usd,-12.8,127.16001892089844,313.5600280761719,-0.17145899893503724,313,117
l1_bid_usd,-12.6,125.86003112792969,299.9975891113281,-0.1555391715136124,313,117
l1_bid_usd,-12.4,125.86003112792969,297.052734375,-0.15502034351874605,313,117
l1_bid_usd,-12.2,111.64999389648438,278.8759460449219,-0.15021435788208948,313,117
l1_bid_usd,-12.0,112.00000762939453,209.77735900878906,-0.1612462794571421,313,117
l1_bid_usd,-11.8,110.00001525878906,288.2326965332031,-0.19038256737937254,313,117
l1_bid_usd,-11.6,115.49999237060547,199.9999542236328,-0.17443543322137567,313,117
l1_bid_usd,-11.4,110.00001525878906,179.5500030517578,-0.1589252068485295,313,117
l1_bid_usd,-11.2,110.00001525878906,188.18995666503906,-0.15873405969252619,313,117
l1_bid_usd,-11.0,111.64999389648438,199.99496459960938,-0.16881024548756174,313,117
l1_bid_usd,-10.8,111.64999389648438,188.18995666503906,-0.1621200950274433,313,117
l1_bid_usd,-10.6,99.99999237060547,188.18995666503906,-0.1702028890527293,313,117
l1_bid_usd,-10.4,99.99999237060547,179.5500030517578,-0.1502416646186614,313,117
l1_bid_usd,-10.2,93.5199966430664,179.5500030517578,-0.1635946588023265,313,117
l1_bid_usd,-10.0,93.5199966430664,188.18995666503906,-0.16392233964118952,313,117
l1_bid_usd,-9.8,91.99999237060547,199.9999542236328,-0.17339777723164307,313,117
l1_bid_usd,-9.6,91.99999237060547,199.9999542236328,-0.16760874907839762,313,117
l1_bid_usd,-9.4,99.99999237060547,199.9999542236328,-0.16121897272057018,313,117
l1_bid_usd,-9.2,93.5199966430664,299.9975891113281,-0.17276972229048904,313,117
l1_bid_usd,-9.0,88.00000762939453,199.9965057373047,-0.16973867453100677,313,117
l1_bid_usd,-8.8,91.99999237060547,199.9965057373047,-0.1681548838098359,313,117
l1_bid_usd,-8.6,99.99999237060547,178.49996948242188,-0.13003467955544634,313,117
l1_bid_usd,-8.4,99.99999237060547,170.40000915527344,-0.1465825619180252,313,117
l1_bid_usd,-8.2,110.00001525878906,170.40000915527344,-0.13975587777504705,313,117
l1_bid_usd,-8.0,99.99999237060547,170.40000915527344,-0.14196772343737196,313,117
l1_bid_usd,-7.8,81.0,170.40000915527344,-0.14398842194369355,313,117
l1_bid_usd,-7.6,68.57918548583984,149.99996948242188,-0.13647906938641763,313,117
l1_bid_usd,-7.4,59.9999885559082,170.0,-0.15613991971819452,313,117
l1_bid_usd,-7.2,55.96000289916992,120.00001525878906,-0.1437699680511182,313,117
l1_bid_usd,-7.0,55.4680061340332,153.71998596191406,-0.15922558095082062,313,117
l1_bid_usd,-6.8,53.000003814697266,170.0,-0.16605226509379867,313,117
l1_bid_usd,-6.6,50.0,170.0,-0.1798967805357582,313,117
